FIPS Code,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
0,US,United States,,,,,52373312.00,34158051.00,11650730.00,11717266.00,47.7,31.1,10.6,10.7,44535197.00,45947035.00,20794975.00,21558480.00,33.5,34.6,15.7,16.2,39343718.00,47642763.00,39571702.00,32310253.00,24.8,30,24.9,20.3,35715625.00,52168981.00,49864428.00,44462605.00,19.6,28.6,27.4,24.4,26472261.00,59472748.00,63756905.00,70920162.00,12,27,28.9,32.1
1000,AL,Alabama,,,,,1062306.00,468269.00,136287.00,141936.00,58.7,25.9,7.5,7.8,964840.00,704207.00,278205.00,270063.00,43.5,31.8,12.5,12.2,843638.00,749591.00,553512.00,399228.00,33.1,29.4,21.7,15.7,714081.00,877216.00,746495.00,549608.00,24.7,30.4,25.9,19,458922.00,1022839.00,993344.00,845772.00,13.8,30.8,29.9,25.5
1001,AL,Autauga County,2,2,2,2,6611.00,3757.00,933.00,767.00,54.8,31.1,7.7,6.4,7074.00,6145.00,2104.00,2117.00,40.6,35.2,12.1,12.1,6252.00,6671.00,4912.00,3026.00,30,32,23.5,14.5,5872.00,9332.00,7413.00,4972.00,21.3,33.8,26.9,18,4291.00,12551.00,10596.00,9929.00,11.5,33.6,28.4,26.6
1003,AL,Baldwin County,4,5,3,2,18726.00,8426.00,2334.00,2038.00,59.4,26.7,7.4,6.5,18125.00,15380.00,6602.00,5498.00,39.7,33.7,14.5,12.1,17309.00,20544.00,15900.00,10870.00,26.8,31.8,24.6,16.8,17258.00,28428.00,28178.00,22146.00,18,29.6,29.3,23.1,13893.00,41797.00,47274.00,48148.00,9.2,27.7,31.3,31.9
1005,AL,Barbour County,6,6,6,6,8120.00,2242.00,581.00,861.00,68.8,19,4.9,7.3,7759.00,3671.00,1362.00,1300.00,55.1,26.1,9.7,9.2,6965.00,4258.00,2622.00,1857.00,44.4,27.1,16.7,11.8,6679.00,6124.00,4025.00,2068.00,35.3,32.4,21.3,10.9,4812.00,6396.00,4676.00,2080.00,26.8,35.6,26,11.6
1007,AL,Bibb County,1,1,1,1,5272.00,1402.00,238.00,302.00,73.1,19.4,3.3,4.2,5254.00,2611.00,536.00,433.00,59.5,29.6,6.1,4.9,4850.00,3407.00,1332.00,476.00,48.2,33.8,13.2,4.7,4984.00,4838.00,2756.00,962.00,36.8,35.7,20.4,7.1,3386.00,7256.00,3848.00,1678.00,20.9,44.9,23.8,10.4
1009,AL,Blount County,1,1,1,1,10677.00,3440.00,626.00,404.00,70.5,22.7,4.1,2.7,11666.00,7011.00,1819.00,1144.00,53.9,32.4,8.4,5.3,9960.00,8763.00,4745.00,1773.00,39.5,34.7,18.8,7,9960.00,12136.00,8371.00,3235.00,29.6,36,24.8,9.6,7763.00,13299.00,13519.00,5210.00,19.5,33.4,34,13.1
1011,AL,Bullock County,6,6,6,6,4245.00,958.00,305.00,314.00,72.9,16.5,5.2,5.4,3473.00,1324.00,574.00,516.00,59,22.5,9.8,8.8,3428.00,1669.00,954.00,676.00,51,24.8,14.2,10,2992.00,2667.00,1325.00,586.00,39.5,35.2,17.5,7.7,1798.00,2860.00,1587.00,856.00,25.3,40.3,22.3,12.1
1013,AL,Butler County,6,6,6,6,8353.00,2459.00,499.00,541.00,70.5,20.7,4.2,4.6,6929.00,3635.00,1016.00,1029.00,55,28.8,8.1,8.2,6374.00,3927.00,2106.00,1083.00,47.2,29.1,15.6,8,4439.00,4749.00,3146.00,1433.00,32.2,34.5,22.9,10.4,2066.00,6244.00,3279.00,2230.00,15,45.2,23.7,16.1
1015,AL,Calhoun County,3,2,3,2,30535.00,13804.00,3823.00,3921.00,58.6,26.5,7.3,7.5,28268.00,21411.00,8449.00,7213.00,43.3,32.8,12.9,11,23633.00,21711.00,16835.00,10266.00,32.6,30,23.2,14.2,19318.00,23856.00,19576.00,11265.00,26.1,32.2,26.4,15.2,12315.00,25940.00,26233.00,14620.00,15.6,32.8,33.2,18.5
