state_FIPS,group_code,state,population_group,civ_population,labor_force,LF_PCT_POP,Employed_total,employed_PCT,Unemployed_total,Unemployed_PCT,error range
1,1,Alabama,Total,3882,2232,57.5,2099,54.1,133,6,5.2 – 6.8
1,2,Alabama,Men,1834,1163,63.4,1098,59.9,65,5.6,4.6 – 6.6
1,3,Alabama,Women,2048,1069,52.2,1001,48.9,68,6.4,5.2 – 7.6
1,4,Alabama,White,2715,1572,57.9,1494,55,77,4.9,4.1 – 5.7
1,5,Alabama,"White, men",1317,871,66.1,832,63.2,39,4.5,3.4 – 5.6
1,6,Alabama,"White, women",1398,701,50.1,662,47.4,38,5.5,4.2 – 6.8
1,7,Alabama,Black or African American,1012,577,57,524,51.8,52,9,7.0 – 11.0
1,8,Alabama,"Black or African American, men",448,252,56.3,227,50.7,25,9.9,6.7 – 13.1
1,9,Alabama,"Black or African American, women",564,324,57.5,297,52.7,27,8.4,5.8 – 11.0
1,13,Alabama,Hispanic or Latino ethnicity,146,95,65.5,88,60.1,8,8.3,4.3 – 12.3
1,14,Alabama,"Hispanic or Latino ethnicity, men",68,54,79.7,50,73.8,4,7.5,2.5 – 12.5
1,16,Alabama,"Married men, spouse present",982,674,68.6,652,66.4,22,3.2,2.2 – 4.2
1,17,Alabama,"Married women, spouse present",971,526,54.2,503,51.7,24,4.5,3.1 – 5.9
1,18,Alabama,Women who maintain families,271,163,60,147,54.3,16,9.6,6.0 – 13.2
1,19,Alabama,"Total, 16 to 19 years",261,97,37.2,89,34,8,8.5,4.1 – 12.9
1,20,Alabama,"Total, 20 to 24 years",315,219,69.7,195,62.1,24,11,7.7 – 14.3
1,21,Alabama,"Total, 25 to 34 years",589,476,80.8,439,74.6,36,7.6,5.7 – 9.5
1,22,Alabama,"Total, 35 to 44 years",608,481,79.2,458,75.4,23,4.8,3.3 – 6.3
1,23,Alabama,"Total, 45 to 54 years",588,438,74.4,419,71.2,19,4.3,2.8 – 5.8
1,24,Alabama,"Total, 55 to 64 years",658,373,56.7,357,54.2,16,4.4,2.8 – 6.0
1,25,Alabama,"Total, 65 years and over",862,147,17,141,16.3,6,4,1.5 – 6.5
1,27,Alabama,"Men, 20 to 24 years",151,118,78.2,108,72,9,8,4.1 – 11.9
1,28,Alabama,"Men, 25 to 34 years",274,237,86.5,220,80.2,17,7.3,4.7 – 9.9
1,29,Alabama,"Men, 35 to 44 years",296,253,85.2,239,80.6,14,5.4,3.2 – 7.6
1,30,Alabama,"Men, 45 to 54 years",283,230,81.1,220,77.8,10,4.1,2.1 – 6.1
1,31,Alabama,"Men, 55 to 64 years",308,195,63.4,187,60.6,9,4.5,2.2 – 6.8
1,32,Alabama,"Men, 65 years and over",383,82,21.5,81,21,2,2.2,(2)-
1,33,Alabama,"Women, 16 to 19 years",123,49,40,45,37,4,7.5,1.7 – 13.3
1,34,Alabama,"Women, 20 to 24 years",164,102,61.9,87,53,15,14.4,8.8 – 20.0
