state_FIPS,group_code,state,population_group,civ_population,labor_force,LF_PCT_POP,Employed_total,employed_PCT,Unemployed_total,Unemployed_PCT,error range
01,01,Alabama,Total,3882,2232,57.50,2099,54.10,133,6.00,5.2 – 6.8
01,02,Alabama,Men,1834,1163,63.40,1098,59.90,65,5.60,4.6 – 6.6
01,03,Alabama,Women,2048,1069,52.20,1001,48.90,68,6.40,5.2 – 7.6
01,04,Alabama,White,2715,1572,57.90,1494,55.00,77,4.90,4.1 – 5.7
01,05,Alabama,"White, men",1317,871,66.10,832,63.20,39,4.50,3.4 – 5.6
01,06,Alabama,"White, women",1398,701,50.10,662,47.40,38,5.50,4.2 – 6.8
01,07,Alabama,Black or African American,1012,577,57.00,524,51.80,52,9.00,7.0 – 11.0
01,08,Alabama,"Black or African American, men",448,252,56.30,227,50.70,25,9.90,6.7 – 13.1
01,09,Alabama,"Black or African American, women",564,324,57.50,297,52.70,27,8.40,5.8 – 11.0
01,13,Alabama,Hispanic or Latino ethnicity,146,95,65.50,88,60.10,8,8.30,4.3 – 12.3
01,14,Alabama,"Hispanic or Latino ethnicity, men",68,54,79.70,50,73.80,4,7.50,2.5 – 12.5
01,16,Alabama,"Married men, spouse present",982,674,68.60,652,66.40,22,3.20,2.2 – 4.2
01,17,Alabama,"Married women, spouse present",971,526,54.20,503,51.70,24,4.50,3.1 – 5.9
01,18,Alabama,Women who maintain families,271,163,60.00,147,54.30,16,9.60,6.0 – 13.2
01,19,Alabama,"Total, 16 to 19 years",261,97,37.20,89,34.00,8,8.50,4.1 – 12.9
01,20,Alabama,"Total, 20 to 24 years",315,219,69.70,195,62.10,24,11.00,7.7 – 14.3
01,21,Alabama,"Total, 25 to 34 years",589,476,80.80,439,74.60,36,7.60,5.7 – 9.5
01,22,Alabama,"Total, 35 to 44 years",608,481,79.20,458,75.40,23,4.80,3.3 – 6.3
01,23,Alabama,"Total, 45 to 54 years",588,438,74.40,419,71.20,19,4.30,2.8 – 5.8
01,24,Alabama,"Total, 55 to 64 years",658,373,56.70,357,54.20,16,4.40,2.8 – 6.0
01,25,Alabama,"Total, 65 years and over",862,147,17.00,141,16.30,6,4.00,1.5 – 6.5
01,27,Alabama,"Men, 20 to 24 years",151,118,78.20,108,72.00,9,8.00,4.1 – 11.9
01,28,Alabama,"Men, 25 to 34 years",274,237,86.50,220,80.20,17,7.30,4.7 – 9.9
01,29,Alabama,"Men, 35 to 44 years",296,253,85.20,239,80.60,14,5.40,3.2 – 7.6
01,30,Alabama,"Men, 45 to 54 years",283,230,81.10,220,77.80,10,4.10,2.1 – 6.1
01,31,Alabama,"Men, 55 to 64 years",308,195,63.40,187,60.60,9,4.50,2.2 – 6.8
01,32,Alabama,"Men, 65 years and over",383,82,21.50,81,21.00,2,2.20,(2)-
01,33,Alabama,"Women, 16 to 19 years",123,49,40.00,45,37.00,4,7.50,1.7 – 13.3
01,34,Alabama,"Women, 20 to 24 years",164,102,61.90,87,53.00,15,14.40,8.8 – 20.0
01,35,Alabama,"Women, 25 to 34 years",315,239,75.80,220,69.70,19,8.00,5.3 – 10.7
01,36,Alabama,"Women, 35 to 44 years",312,229,73.50,219,70.40,9,4.10,2.1 – 6.1
01,37,Alabama,"Women, 45 to 54 years",305,208,68.20,199,65.10,9,4.50,2.3 – 6.7
01,38,Alabama,"Women, 55 to 64 years",350,178,50.80,170,48.70,8,4.20,1.9 – 6.5
01,39,Alabama,"Women, 65 years and over",479,64,13.40,60,12.60,4,6.20,1.6 – 10.8
01,40,Alabama,"White, 16 to 19 years",148,56,38.10,53,36.10,3,5.30,0.7 – 9.9
01,41,Alabama,"White, 20 to 24 years",203,144,70.80,131,64.70,12,8.60,4.9 – 12.3
01,42,Alabama,"White, 25 to 34 years",395,327,82.70,305,77.10,22,6.80,4.6 – 9.0
